,Community,Suburb,Municipality,Province
0,Atlantic Seaboard,Bakoven,Cape Town,Western Cape
1,Atlantic Seaboard,Bantry Bay,Cape Town,Western Cape
2,Atlantic Seaboard,Camps Bay,Cape Town,Western Cape
3,Atlantic Seaboard,Clifton,Cape Town,Western Cape
4,Atlantic Seaboard,Fresnaye,Cape Town,Western Cape
5,Atlantic Seaboard,Green Point,Cape Town,Western Cape
6,Atlantic Seaboard,Llandudno,Cape Town,Western Cape
7,Atlantic Seaboard,Mouille Point,Cape Town,Western Cape
8,Atlantic Seaboard,Sea Point,Cape Town,Western Cape
9,Atlantic Seaboard,Three Anchor Bay,Cape Town,Western Cape
11,Blaauwberg,Atlantis,Cape Town,Western Cape
12,Blaauwberg,Bloubergstrand,Cape Town,Western Cape
13,Blaauwberg,Brooklyn,Cape Town,Western Cape
14,Blaauwberg,Century City,Cape Town,Western Cape
15,Blaauwberg,Dunoon,Cape Town,Western Cape
16,Blaauwberg,Duynefontein,Cape Town,Western Cape
17,Blaauwberg,Joe Slovo Park,Cape Town,Western Cape
18,Blaauwberg,Mamre,Cape Town,Western Cape
19,Blaauwberg,Melkbosstrand,Cape Town,Western Cape
20,Blaauwberg,Milnerton,Cape Town,Western Cape
21,Blaauwberg,Parklands,Cape Town,Western Cape
22,Blaauwberg,Table View,Cape Town,Western Cape
24,Cape Flats,Athlone,Cape Town,Western Cape
25,Cape Flats,Bishop Lavis,Cape Town,Western Cape
26,Cape Flats,Crawford,Cape Town,Western Cape
27,Cape Flats,Crossroads,Cape Town,Western Cape
28,Cape Flats,Gugulethu,Cape Town,Western Cape
29,Cape Flats,Hanover Park,Cape Town,Western Cape
30,Cape Flats,Heideveld,Cape Town,Western Cape
31,Cape Flats,Kenwyn,Cape Town,Western Cape
32,Cape Flats,Khayelitsha,Cape Town,Western Cape
33,Cape Flats,QQ Section,Cape Town,Western Cape
34,Cape Flats,Lansdowne,Cape Town,Western Cape
35,Cape Flats,Lavender Hill,Cape Town,Western Cape
36,Cape Flats,Manenberg,Cape Town,Western Cape
37,Cape Flats,Mitchells Plain,Cape Town,Western Cape
38,Cape Flats,Nyanga,Cape Town,Western Cape
39,Cape Flats,Ottery,Cape Town,Western Cape
40,Cape Flats,Philippi,Cape Town,Western Cape
41,Cape Flats,Rondebosch East,Cape Town,Western Cape
42,Cape Flats,Strandfontein,Cape Town,Western Cape
44,City Centre,Bo-Kaap,Cape Town,Western Cape
45,City Centre,De Waterkant,Cape Town,Western Cape
46,City Centre,Devil's Peak Estate,Cape Town,Western Cape
47,City Centre,District Six,Cape Town,Western Cape
48,City Centre,Foreshore,Cape Town,Western Cape
49,City Centre,Gardens,Cape Town,Western Cape
50,City Centre,Higgovale,Cape Town,Western Cape
51,City Centre,Oranjezicht,Cape Town,Western Cape
52,City Centre,Robben Island,Cape Town,Western Cape
53,City Centre,Schotsche Kloof,Cape Town,Western Cape
54,City Centre,Tamboerskloof,Cape Town,Western Cape
55,City Centre,University Estate,Cape Town,Western Cape
56,City Centre,Vredehoek,Cape Town,Western Cape
57,City Centre,Walmer Estate,Cape Town,Western Cape
58,City Centre,Woodstock,Cape Town,Western Cape
59,City Centre,Zonnebloem,Cape Town,Western Cape
61,Helderberg,Eerste River,Cape Town,Western Cape
62,Helderberg,Faure,Cape Town,Western Cape
63,Helderberg,Gordon's Bay,Cape Town,Western Cape
64,Helderberg,Macassar,Cape Town,Western Cape
65,Helderberg,Sir Lowry's Pass Village,Cape Town,Western Cape
66,Helderberg,Somerset West,Cape Town,Western Cape
67,Helderberg,Parel Vallei,Cape Town,Western Cape
68,Helderberg,Strand,Cape Town,Western Cape
69,Helderberg,Lwandle,Cape Town,Western Cape
70,Helderberg,Nomzamo,Cape Town,Western Cape
72,Northern Suburbs,Belhar,Cape Town,Western Cape
73,Northern Suburbs,Bellville,Cape Town,Western Cape
74,Northern Suburbs,Boston,Cape Town,Western Cape
75,Northern Suburbs,Eversdal,Cape Town,Western Cape
76,Northern Suburbs,Kenridge,Cape Town,Western Cape
77,Northern Suburbs,Stellenberg,Cape Town,Western Cape
78,Northern Suburbs,Blue Downs,Cape Town,Western Cape
79,Northern Suburbs,Bonteheuwel,Cape Town,Western Cape
80,Northern Suburbs,Bothasig,Cape Town,Western Cape
81,Northern Suburbs,Brackenfell,Cape Town,Western Cape
82,Northern Suburbs,Delft,Cape Town,Western Cape
83,Northern Suburbs,Blikkiesdorp,Cape Town,Western Cape
84,Northern Suburbs,Durbanville,Cape Town,Western Cape
85,Northern Suburbs,Edgemead,Cape Town,Western Cape
86,Northern Suburbs,Elsie's River,Cape Town,Western Cape
87,Northern Suburbs,Epping,Cape Town,Western Cape
88,Northern Suburbs,Fisantekraal,Cape Town,Western Cape
89,Northern Suburbs,Goodwood,Cape Town,Western Cape
90,Northern Suburbs,Kensington,Cape Town,Western Cape
91,Northern Suburbs,Kraaifontein,Cape Town,Western Cape
92,Northern Suburbs,Kuils River,Cape Town,Western Cape
93,Northern Suburbs,Langa,Cape Town,Western Cape
94,Northern Suburbs,Joe Slovo,Cape Town,Western Cape
95,Northern Suburbs,Maitland,Cape Town,Western Cape
96,Northern Suburbs,Mfuleni,Cape Town,Western Cape
97,Northern Suburbs,Monte Vista,Cape Town,Western Cape
98,Northern Suburbs,Ndabeni,Cape Town,Western Cape
99,Northern Suburbs,Norwood,Cape Town,Western Cape
100,Northern Suburbs,Panorama,Cape Town,Western Cape
101,Northern Suburbs,Parow,Cape Town,Western Cape
102,Northern Suburbs,Philadelphia,Cape Town,Western Cape
103,Northern Suburbs,Pinelands,Cape Town,Western Cape
104,Northern Suburbs,Richwood,Cape Town,Western Cape
105,Northern Suburbs,Thornton,Cape Town,Western Cape
106,Northern Suburbs,Tygerberg,Cape Town,Western Cape
107,Northern Suburbs,Wallacedene,Cape Town,Western Cape
109,Southern Suburbs,Bergvliet,Cape Town,Western Cape
110,Southern Suburbs,Bishopscourt,Cape Town,Western Cape
111,Southern Suburbs,Claremont,Cape Town,Western Cape
112,Southern Suburbs,Constantia,Cape Town,Western Cape
113,Southern Suburbs,Diep River,Cape Town,Western Cape
114,Southern Suburbs,Grassy Park,Cape Town,Western Cape
115,Southern Suburbs,Harfield Village,Cape Town,Western Cape
116,Southern Suburbs,Heathfield,Cape Town,Western Cape
117,Southern Suburbs,Kenilworth,Cape Town,Western Cape
118,Southern Suburbs,Lotus River,Cape Town,Western Cape
119,Southern Suburbs,Meadowridge,Cape Town,Western Cape
120,Southern Suburbs,Mowbray,Cape Town,Western Cape
121,Southern Suburbs,Muizenberg,Cape Town,Western Cape
122,Southern Suburbs,Newlands,Cape Town,Western Cape
123,Southern Suburbs,Observatory,Cape Town,Western Cape
